Timestamp,Identifier,Distance
2024-03-21T10:18:47-07:00,7E:27:A0:4C:41:10,0.01
2024-03-21T10:18:47-07:00,65:40:29:2B:8E:C5,0.01
2024-03-21T10:18:47-07:00,60:39:38:A1:BC:1C,0.01
2024-03-21T10:18:47-07:00,4E:B5:CD:25:13:F9,0.01
2024-03-21T10:18:47-07:00,75:BF:3F:45:A7:B7,0.01
2024-03-21T10:18:47-07:00,FE:88:58:BE:95:F2,0.02
2024-03-21T10:18:47-07:00,Scarlett,0.02
2024-03-21T10:18:47-07:00,Scarlett,0.04
2024-03-21T10:18:47-07:00,78:6C:84:D9:F3:4B,0.05
2024-03-21T10:18:47-07:00,N0971,0.05
2024-03-21T10:18:47-07:00,7C:86:1D:9B:EF:2D,0.06
2024-03-21T10:18:47-07:00,B8:16:5F:12:F1:03,0.06
2024-03-21T10:18:47-07:00,[LG] webOS TV UR8000AUA,0.07
2024-03-21T10:18:47-07:00,78:6C:84:CB:02:DA,0.07
2024-03-21T10:18:47-07:00,65:B7:06:A4:FE:18,0.08
2024-03-21T10:18:47-07:00,90:A8:22:CC:AF:7F,0.09
2024-03-21T10:18:47-07:00,Willow,0.10
2024-03-21T10:18:47-07:00,FC:42:8A:BB:9E:E6,0.10
2024-03-21T10:18:47-07:00,7A:CF:13:AA:3F:9F,0.13
